district,total_active_children,total_active_children_measured,%_children_measured,aww_completed_80%_of_me
Angul,95016,94945,99.93,1689
Balangir,125983,125943,99.97,2773
Balasore,153384,153335,99.97,4220
Bargarh,95336,95326,99.99,2919
Bhadrak,104918,104893,99.98,2435
Boudh,35988,35960,99.92,726
Cuttack,143199,143182,99.99,3343
Deogarh,22849,22845,99.98,800
Dhenkanal,77914,77819,99.88,2222
Gajapati,50547,50503,99.91,2443
Ganjam,249355,249306,99.98,5162
Jagatsinghpur,61109,61106,100.0,1815
Jajapur,139275,139265,99.99,2826
Jharsuguda,33620,33593,99.92,967
Kalahandi,139650,139520,99.91,2376
Kandhamal,69693,69665,99.96,2198
Kendrapara,93345,93331,99.99,2147
Keonjhar,149342,149289,99.96,3360
Khordha,122363,122351,99.99,2554
Koraput,134554,134365,99.86,3395
Malkangiri,65398,65282,99.82,1324
Mayurbhanj,173980,173845,99.92,5149
Nabarangpur,129941,129871,99.95,2330
Nayagarh,59974,59907,99.89,1584
Nuapada,54423,54408,99.97,1408
Puri,94718,94714,100.0,2599
Rayagada,96641,96607,99.96,2087
Sambalpur,67114,67097,99.97,1886
Subarnapur,42351,42335,99.96,1556
Sundergarh,131988,131964,99.98,3918
