district,total_awc,total_cbe,total_vhsnd,field_functionaries,total_participants,vaccinations
Angul,1689,3377,1685,7541,63204,20373
Balangir,2774,5546,2772,13052,139692,38441
Balasore,4220,8440,4220,18656,208353,61226
Bargarh,2919,5838,2917,13480,118184,30175
Bhadrak,2435,4870,2435,11159,127032,41607
Boudh,727,1454,727,3191,33734,10743
Cuttack,3343,6686,3341,15292,141878,41771
Deogarh,800,1600,792,3852,29799,11237
Dhenkanal,2223,4446,2070,9253,97287,28167
Gajapati,2443,4886,2403,10936,68325,23743
Ganjam,5162,10324,5161,24742,267799,86716
Jagatsinghpur,1815,3630,1815,8522,89835,18733
Jajapur,2826,5652,2825,13359,142316,44280
Jharsuguda,967,1932,966,4700,29740,7227
Kalahandi,2377,4752,2242,10114,108425,37870
Kandhamal,2198,4396,2173,9676,73381,30642
Kendrapara,2147,4294,2147,10073,143404,39495
Keonjhar,3361,6720,3345,15891,149359,56408
Khordha,2554,5108,2553,12008,124087,35272
Koraput,3397,6794,3396,15887,128895,50320
Malkangiri,1324,2648,1252,5546,55175,22240
Mayurbhanj,5153,10306,5007,22817,192670,66291
Nabarangpur,2330,4660,2245,10021,133264,54834
Nayagarh,1584,3168,1579,7606,68654,19614
Nuapada,1408,2816,1373,6766,45401,15155
Puri,2599,5198,2593,12601,129577,36312
Rayagada,2087,4174,2084,9057,92425,34397
Sambalpur,1886,3772,1856,8412,67634,17807
Subarnapur,1556,3112,1545,6996,62210,16592
Sundergarh,3919,7838,3912,17014,118246,25753
